"Term name (NOT TO BE EDITED, but see comments in column K)",acronym/abbreviation (Editors can insert suggestions),Pending discussion,"skos:definition @en                                                          Comments welcome, but DO NOT EDIT column D (FdJ will do that based on comments in column M). Note that in some cases the original can still be checked in column R",project/community/source,source indications in the source,date (internal information only),select (Editors in favour of selection can add a smart chip/their initials) ,to be discussed (Editors in favour of discussion can add a smart chip/their initials) ,reject (Editors in favour of rejection can add a smart chip/their initials) ,final decision (verdict to be specified based on consensus/majority; probably not before 13 July),status: current / not used / outdated; annotated with user initials,"editorial comments, annotated with user initials (light grey font: no further actionr equired on short notice)",URI (without namespace); capitalisation for internal purposes only; DO NOT EDIT,skos:prefLabel @en,skos:altLabel @en;  column NOT TO BE EDITED;  relevance of this column still under  discussion ,skos:broader,original definition @en,skos:note @en,skos:example @en,skos:exactMatch,skos:closeMatch
horizontal service,,see cell A2,"cross-disciplinary infrastructure resource that is designed to support researchers across all scientific domains,.","Glossary TaskForce 2026, based on several sources",,2026-07-13,Franciska de Jong,Alberto IessMN ,,select,can be rediscussed after first release,,HorizontalServices,horizontal service,,resource,,The terms 'common service' and 'generic service' are in use as synonym for 'horizontal service'.  The complement is 'thematic service'.,"Horizontal services include virtual machines, cloud containers, bulk data transfer, file synchronization and sharing, notebooks, and large file transfer.",,
instrument,,,"device, tool or apparatus used to obtain, measure and/or analyse data",https://datacite-metadata-schema.readthedocs.io/en/4.7/appendices/appendix-1/resourceTypeGeneral/#instrument,,2026-07-13,MN Franciska de Jong,,,select,,,instrument,instrument,,,,,,,
knowledge graph,KG,,"structured representation of knowledge as a network of entities and their relationships, typically as (subject–predicate–object) triples;                      

","OSCARS Glossary TaskForce 2026, based on several sources, among which ISO: https://www.iso.org/obp/ui/#iso:std:iso-iec:5392:ed-1:v1:en:term:3.14",,2026-07-22,Franciska de Jong,,,select,,"FdJ:  to be checked if this wikidata definition should be followed more closely: https://www.wikidata.org/wiki/Q33002955.     Other details from Daan's input: A knowledge graph can be represented as a collection of triples, with each triple (head, tail, relation) denoting the fact that relation exists between head entity and tail entity. | Definition inspired by ""Ehrlinger & Wöß (2016) and Ji et al. (2020) Ji, S., Pan, S., Cambria, E., Marttinen, P., & Yu, P.S. (2020). A Survey on Knowledge Graphs: Representation, Acquisition and Applications. arXiv:2002.00388.
Ehrlinger, L. & Wöß, W. (2016). Towards a Definition of Knowledge Graphs. CEUR-WS Vol. 1695. https://ceur-ws.org/Vol-1695/paper4.pdf",KnowledgeGraph,knowledge graph,KG,,,"KGs support search and discovery, inference, and integration across heterogeneous sources.| A KG can comprise an ontology and data related to the ontology. |  Examples of narrower terms are Scholarly Knowledge Graph and Scientific Knowledge Graph (both commonly abbreviated as SKG).
",,,
Life Science Research Infrastructures,LS-RI,,"a cluster of European research infrastructures and related organisations that support research and innovation in life sciences by providing access to data, services, tools, facilities and expertise","OSCARS Glossary TaskForce 2026, based on several sources, among which https://lifescience-ri.eu/ 
",,2026-07-12,Franciska de Jong Joaquin Lopez Lorenz Makula Alberto Iess MN,,,select,,,LifeScienceResearchInfrastructure,Life Science Research Infrastructures,LSRI,science cluster,,,,,
metadata,,,data about data that defines and describes the characteristics of other data. ,CODATA RDM Terminology: https://vocabs.ardc.edu.au/repository/api/lda/codata/codata-research-data-management-terminology/current/resource?uri=https://terms.codata.org/rdmt/metadata,,2020-09-01,Franciska de Jong Joaquin Lopez Lorenz Makula IMS Alberto Iess MN,,,select,,,Metadata,metadata,,data,data​ defining and describing other data.,"Metadata can be categorised as ​descriptive​, ​structural​, ​preservation​ and administrative metadata​.",,,
national EOSC Node,,,country-specific platforms and infrastructures that connect the local national research communities to the EOSC ecosystem.,"OSCARS Glossary TaskForce 2026, based on several sources",,2026-07-13,Lorenz Makula Franciska de Jong Joaquin Lopez Alberto Iess MN,,,select,,,NationalEoscNode,national EOSC Node,,EOSC Node,,,,,
open access,,,access model that enables the re-use of digital research outputs with as few restrictions as possible.,"OSCARS Glossary TaskForce 2026, based on several sources",,2020-09-01,Franciska de Jong Joaquin Lopez Lorenz Makula Alberto Iess MN,,,select,,,OpenAccess,open access,,access,,Open access is the opposite of closed access. ,,,
open data,,,"data​ in an open format that can be freely used, re-used and shared by anyone for any purpose.  ",EOSC Glossary September 2020,,2020-09-01,Franciska de Jong Joaquin Lopez alen.vodopijevec@cessda.eu IMS Alberto Iess MN,,,select,,FdJ: primary source removed from  definition; implied by reference to EOSC Glossary September 2020,OpenData,open data,,data,"data​ in an open format that can be freely used, re-used and shared by anyone for any purpose. [SOURCE: DIRECTIVE (EU) 2019/1024 OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL of 20 June 2019 on open data and the re-use of public sector information (recast).",,,,
open science,OS,,"the practice of making science more accessible, inclusive and equitable for all",EOSC Federation Handbook; https://zenodo.org/records/18454649,https://www.unesco.org/en/open-science,2020-09-01,Franciska de Jong Joaquin Lopez Lorenz Makula IMS Alberto Iess MN,,,select,,"FdJ: definition adjusted to Handbook version, incl. reference to UNESCO source",OpenScience,open science,OS,,,,,,
PaNOSC,,,"science cluster representing infrastructured for photon and neutron research, developing and providing services for its scientific community and connecting these to EOSC",https://www.panosc.eu/,,2016-06-30,Franciska de Jong Joaquin Lopez Lorenz Makula Alberto Iess MN,,,select,,,Panosc,PaNOSC,,science cluster,,,,,
persistent Identifier,PID,,"long-lasting reference to a digital object, essential for findability.","OSCARS Glossary TaskForce 2026, based on several sources",,2026-06-30,Lorenz Makula MN Franciska de Jong,,IMS  Joaquin Lopez,select,can be rediscussed after first release,"MN: only actually useful when digital object is defined; FdJ: I agree with MN, but note that digital object *will be included*. IvdL: if you need another source, ISO 690:2021 in Information and Documentation defines it as ""unique identifier that is intended to remain valid for a long time."". The broarder concept in this case is ""identifier"", which makes more sense than ""digital object"". https://www.iso.org/obp/ui/#iso:std:iso:690:ed-4:v1:en:term:3.32",Persistentdentifier,persistent identifier,PID,,,,,,
personal data,,,any information related to an identified or identifiable natural person ('data subject').,EOSCFuture project glossary,https://gdpr-info.eu/art-4-gdpr/,2016-04-27,Franciska de Jong Joaquin Lopez Lorenz Makula MN,,,select,,,PersonalData,personal data,,data,"Any information related to an identified or identifiable natural person ('data subject'); an identifiable natural person is one who can be identified, directly or indirectly, in particular by reference to an identifier such as a name, an identification number, location data, an online identifier or to one or more factors specific to the physical, physiological, genetic, mental, economic, cultural or social identity of that natural person.","An identifiable natural person is one who can be identified, directly or indirectly, in particular by reference to an identifier such as a name, an identification number, location data, an online identifier or to one or more factors specific to the physical, physiological, genetic, mental, economic, cultural or social identity of that natural person.",,,
preservation metadata,,,metadata​ for supporting the long-term management and future migration or emulation of resources​.,EOSC Glossary September 2020,"Riley, J., & National Information Standards Organization (U.S.). (2017). Understanding metadata: What is metadata, and what is it for? http://www.niso.org/publications/understanding-metadata-riley​, modified –– reference to resources instead of digital files; preservation metadata are not considered just administrative metadata, rather they span all metadata categories (see PREMIS Editorial Committee. (2015). PREMIS Data Dictionary for Preservation Metadata​ (version 3.0).).",2020-09-01,Franciska de Jong Joaquin Lopez Lorenz Makula MN,,,select,,,PreservationMetadata,preservation metadata,,metadata,metadata​ for supporting the long-term management and future migration or emulation of resources​.,,"Checksum, hash, structural metadata.",,
provenance metadata,,,"administrative metadata​ describing the lifecycle of a ​resource​ to a point, including the related entities and processes.",EOSC Glossary September 2020,ISO/TR 14873:2013,2020-09-01,Franciska de Jong Joaquin Lopez Lorenz Makula MN,,,select,,,ProvenanceMetadata,provenance metadata,context metadata,administrative metadata,"administrative metadata​ describing the lifecycle of a ​resource​ to a point, including the related entities and processes.",,Configuration and log files.,,
raw data,,,"data​ in its originally acquired, direct form from its source before subsequent processing.",EOSC Glossary September 2020,ISO 5127:2017.,2020-09-01,Franciska de Jong Joaquin Lopez Lorenz Makula IMS MN,,,select,,,RawData,raw data,,data,"data​ in its originally acquired, direct form from its source before subsequent processing.",,,,
repository,,,"online archive for the storage of digital objects including research outputs, manuscripts, analysis code and/or data.",https://forrt.org/glossary/english/repository/,,2026-07-23,Franciska de Jong Joaquin Lopez Lorenz Makula IMS MN,,,select,,adjusted to comments /suggstions by MN and IvdL,Repository,repository,,service,"service​ for managing and curating ​data​, enabling their long-term preservation and reuse.","Repository data may a include wide range of data type, including publications.",,,
research community,,,community of researchers working in a specific domain or with specific interests.,EOSCFuture project glossary,https://wiki.eoscfuture.eu/display/PUBLIC/EOSC+Future+Glossary,2021-06-01,Franciska de Jong Joaquin Lopez Lorenz Makula IMS MN,,,select,,,ResearchCommunity,research community,,,A community of researchers working in a specific domain or with specific interests.,,,,
research data,,,data and associated metadata created or collected as a part of scientific research or of relevance to scientific research.,EOSC Federation Handbook; https://zenodo.org/records/18454649,,2026-07-23,Franciska de Jong,,Lorenz Makula Joaquin Lopez MN,select,selection and definition  can be rediscussed after first release; now in the set of entries to complement 'research data repository' ,"FdJ: new definition entered after consensus proces 
",ResearchData,research data,,data,,"In the ​EOSC ecosystem​ research data can be digital, analogue or heterogeneous in nature.",,,
research data repository,,see cell A2,"service supporting the storage, management, preservation, discovery, and access of research datasets and associated metadata to enable research data sharing and reuse. ","OSCARS Glossary TaskForce 2026, based on several sources",,2026-07-13,Franciska de Jong,,Lorenz Makula Joaquin Lopez MN,select,can be rediscussed after first release,"FdJ: new definition entered after consensus proces to better comply with ISO standard
",ResearchDataRepository,research data repository,,repository ,,"Research data repositories can be generic, institutional, thematic or domain-specific.",,,
research infrastructure,RI,,infrastructure enabling the research communities to conduct research and foster innovation in their fields.,EOSC Glossary September 2020,"Horizon 2020 Work Programme 2018-2020 4. European research infrastructures (including e-Infrastructures), modified — facilities, resources and services are generalised in the infrastructure concept.",2020-09-01,Franciska de Jong Joaquin Lopez Lorenz Makula Alberto Iess MN,,,select,can be rediscussed after first release,"FdJ: check against Federation Handbook needed; definition can be improved
",ResearchInfrastructure,research infrastructure,RI,,infrastructure enabling the research communities to conduct research and foster innovation in their fields.,,,,
research product,,,"results of scientific work, including  publications,  research
data and research software","OSCARS Glossary TaskForce 2026, based on several sources",,2026-07-13,Franciska de Jong,,,select,can be rediscussed after first release,"FdJ: new definition entered after consensus proces 
",ResearchProduct,research product,,,,,,,
resource,,,"digital or physical asset—including services, data, and people—needed to support open science and research","OSCARS Glossary TaskForce 2026, based on several sources",,revised on 2026-09-01,Franciska de Jong Lorenz Makula Joaquin Lopez Alberto Iess MN,,,select,,,Resource,resource,,research product,,"In the context of EOSC, resources are understood to be both digital or analogue. They are produced or operated by or of potential use to researchers. Services include data sources, computational resources and data storage resources.",,,
rights metadata,,,administrative metadata​ defining the ownership and the legally permitted usage of a ​resource​.,EOSC Glossary September 2020,"ISO/TR 14873:2013, modified –– reference to resource instead of object.",2020-09-01,Franciska de Jong Joaquin Lopez Lorenz Makula Alberto Iess MN,,,select,,,RightsMetadata,rights metadata,,administrative metadata,administrative metadata​ defining the ownership and the legally permitted usage of a ​resource​.,,,,
science cluster,,,"a collaborative framework that brings together research infrastructures from a specific scientific domain to align their capabilities, develop common solutions, and contribute domain-specific resources and services to EOSC","OSCARS Glossary TaskForce 2026, based on several sources",,2026-07-22,Franciska de Jong,,,select,,,ScienceCluster,science cluster,,,,The five science clusters collaborate under the networlkorganisation known as 'science clusters'.,"ENVRI, ESCAPE, PaNOSC, LS-RI, SSHOC",,
science clusters,,,network grown out of five collaborative projects funded by the European Union in 2019 to link ESFRI and other world-class Research Infrastructures (RIs) to EOSC,https://science-clusters.eu/,https://zenodo.org/records/17224742,2016-06-30,Franciska de Jong Joaquin Lopez Lorenz Makula Alberto Iess MN,,,select,definition could be improved,,ScienceClustes,science clusters,,,,,,,
service,,,a means of delivering value to customers by facilitating outcomes customers want to achieve without the ownership of specific costs and risks.,EOSCFuture project glossary,https://wiki.en.it-processmaps.com/index.php/ITIL_Glossary/_ITIL_Terms_S,2007-05-30, alen.vodopijevec@cessda.eu Joaquin Lopez MN,Franciska de Jong,Lorenz Makula,select,can be rediscussed after first release,FdJ; definition stronger than for duplicate; but could still be more convincing,Service,service,,,A means of delivering value to customers by facilitating outcomes customers want to achieve without the ownership of specific costs and risks.,,,eoscG2020:Service,
SSH Open Cluster,SSHOC,,"network of Research Infrastructures aiming at realising the Social
Sciences and Humanities part of EOSC.",https://sshoc.eu/news/sshoc-ssh-open-cluster,,2016-06-30,Franciska de Jong Joaquin Lopez Lorenz Makula Alberto Iess MN,,,select,definition could be improved,"IvdL: To align with the Science Clusters, propose to define as: """"a science cluster that brings together European research infrastructures and related organisations in the SSH domain to coordinate activities, develop interoperable services, and enhance access to data, tools and resources for SSH research communities"". It could also be more concise. The broader term would be """"science cluster""",Sshoc,SSH Open Cluster,SSHOC,science cluster,,,,,
Strategic Research and Innovation Agenda,SRIA,see cell A3; creation of a domain: EOSC Association?,"general framework for future research, development and innovation activities in relation to the European Open Science Cloud",https://eosc.eu/eosc-about/sria-mar,https://www.eosc.eu/sites/default/files/EOSC-SRIA-V1.0_15Feb2021.pdf,2026-07-03,Franciska de Jong Joaquin Lopez Lorenz Makula Alberto Iess,,MN,select,,,StrategicResearchAndInnovationAgenda,Strategic Research and Innovation Agenda,SRIA,,"A document that outlines the strategic objectives, key performance indicators and high-level work plan for the EOSC Association, as required by the Horizon Europe grant agreement.",,,,
structural metadata,,,metadata​ that describes the internal structure of ​resources​ and the relationships between their parts.,EOSC Glossary September 2020,PREMIS Editorial Committee. (2015). PREMIS Data Dictionary for Preservation Metadata (version 3.0).,2020-09-01,Franciska de Jong Joaquin Lopez Lorenz Makula Alberto Iess MN,,,select,,,StructuralMetadata,structural metadata,,metadata,metadata​ that describes the internal structure of ​resources​ and the relationships between their parts.,,,,
technical metadata,,,administrative metadata​ describing the technical characteristics of a ​resource​.,EOSC Glossary September 2020,"ISO/TR 14873:2013, modified –– reference to resource instead of digital object.",2020-09-01,Franciska de Jong Joaquin Lopez Lorenz Makula Alberto Iess MN,,,select,,,TechnicalMetadata,technical metadata,,administrative metadata,administrative metadata​ describing the technical characteristics of a ​resource​.,,"Format, size.",,
Technology Readiness Level,TRL,better source than wikipedia?,"scale-based method, with scales ranging from 1 (lowest) to 9 (highest), used to estimate the maturity of a technology at a given point during a programme's acquisition or development phase",https://en.wikipedia.org/wiki/Technology_readiness_level ,,2026-07-06,Franciska de Jong Alberto Iess MN,,,select,,"FdJ: alterntive sources for an authoritative short definition are welcome. AI: this is needed because it is directly linked to services provided by clusters and funded projects. IvdL: A better source for the definition is https://www.euacc.ai/guides/trl-levels-guide: ""a standard framework developed by NASA.. and adopted by the European Commission to assess how close a technology is to commercial development"". in the Notes, the 9 scales could be listed for quick reference.",Trl,Technology Readiness Level,TRL,,,,,,
thematic EOSC Node,,,EOSC Node representing communities working in a specific scientific domain of research or with specific scientific techniques. ,EOSC Federation Handbook; https://zenodo.org/records/18454649,,2026-06-30,Franciska de Jong Joaquin Lopez Lorenz Makula Alberto Iess MN,,,select,,,ThematicEoscNode,thematic EOSC Node,,EOSC Node,,,,,
thematic infrastructure,,see cell A2,"research infrastructure that provides facilities, resources, and services tailored to the needs of a specific scientific domain, research community or thematic area.","OSCARS Glossary TaskForce 2026, based on several sources",EOSC Glossary September 2020,2020-09-01,Franciska de Jong Joaquin Lopez Lorenz Makula IMS Alberto Iess ,,MN,select,can be rediscussed after first release,JLL: LifeWatch is a thematic infrastructure. Verify definition against current usage.,ThematicInfrastructure,thematic infrastructure,,research infrastructure,infrastructure​ enabling domain-specific ​services​.,,,,
thematic service,,see cell A2,service that provides discipline or domain-specific capabilities for a particular scientific community.,"OSCARS Glossary TaskForce 2026, based on several sources",,2024-03-29,Franciska de Jong Joaquin Lopez Lorenz Makula IMS Alberto Iess MN,,,select,can be rediscussed after first release,,ThematicService,thematic service,,resource,,The complement of 'thematic service' is 'generic service'.,"browsing and downloading data and apps, workflow development and execution, online analytics, result visualisation, sharing of result data",,
training resource,,,"any resource – including print and non-print materials and online/open-access resources – that supports and enhances, directly or indirectly, learning and teaching. ",EOSCFuture project glossary,,2024-03-29,Franciska de Jong Joaquin Lopez Lorenz Makula MN,,,select,,,TrainingResource,training resource,,resource,"Any resource – including print and non-print materials and online/open-access resources – which supports and enhances, directly or indirectly, learning and teaching. If a training resource is used in a training environment, for training activities that are part of a training plan and involve instructors, facilitators and students, then we speak of training materials.","If a training resource is used in a training environment, for training activities that are part of a training plan and involve instructors, facilitators and students, then we speak of training materials.",,,
TRUST principles,,,"set of guidelines to make ​digital repositories​ suitable for data and FAIR digital objects management​ and long-term preservation based on Transparency, Responsibility, User community, Sustainability and Technology (TRUST).",EOSC Glossary September 2020,"Lin, D., Crabtree, J., Dillo, I., Downs, R. R., Edmunds, R., Giaretta, D., Giusti, M. D., L’Hours, H., Hugo, W., Jenkyns, R., Khodiyar, V., Martone, M., Mokrane, M., Navale, V., Petters, J., Sierman, B., Sokolova, D. V., & Stockhause, M. (2019). The TRUST Principles for Digital Repositories — A White Paper (Version 0.03 (draft)). https://docs.google.com/document/d/1pbRw1uf-W-BRMxjj8ZNZJHQTI-ggLjRWq8jiu4Oy6Yc/edit .",2020-09-01,Joaquin Lopez Lorenz Makula IMS Alberto Iess MN,Franciska de Jong,,select,term with low frequency; to be rediscussed after first release?,"JLL: TRUST principles complement FAIR for trustworthy repositories. Propose SELECT, but more recent definition would be welcome",TrustPrinciples,TRUST principles,,trusted digital repository,"set of guidelines to make ​digital repositories​ suitable for data and FAIR digital objects management​ and long-term preservation based on transparency, responsibility, user community, sustainability and technology.",,,,
trusted digital repository,TDR,,repository​ certfied according to ISO standard16363 or the CoreTrustSeal Trustworthy Data Repositories requirements.,EOSC Glossary September 2020; ,EOSC Glossary September 2020,2020-09-01,Franciska de Jong Joaquin Lopez Lorenz Makula Alberto Iess MN,,,select,,"FdJ: overlaps with certified X; minor adjustment  to comply with the ISO standard;   IvdL: I am wondering whether the TRUST principles require certification. If I understand them correctly, the certification provides additional evidence that they can be trusted. I would say that an institutional digital repository can be trusted if it followed the TRUST principles, even though it may not have applied for the certification.",TrustedDigitalRepository,trusted digital repository,trustworthy digital repository | TDR,certified repository,certified repository​ according to the standard ISO 16363 or the CoreTrustSeal Trustworthy Data Repositories requirements.,,,,
virtual research environment ,VRE,,environment that allows a researcher to provide/select data and execute a workflow (in a workflow engine).,OSCARS D2.2  - Service Composability Report,,2026-07-12,Franciska de Jong MN,,,select,,FdJ: entry added based on D2.2; Zenodo link still to be added (once available),VirtualResearchEnvironment ,virtual research environment ,VRE,,,,,,
workflow,,,well-defined series of tasks,"OSCARS D2.1 - Clusters' Services and Data Sources Portfolios, p.19; https://zenodo.org/records/14881627",,2026-07-03,Franciska de Jong MN FF,,,select,can be rediscussed after first release,"IvdL: Not sure about the definition. What about "" a series of activities necessary to complete a task""? The definition of ''scientific workflow"" offered by NIST would be more suitable in our context: https://www.nist.gov/programs-projects/scientific-workflow: "" encapsulation of all processes and accompanying relevant data necessary to reproduce and validate an experiment"". In the context of other EOSC projects, we also use """"research workflow"", which according to FORRT is ""the process of conducting research from conceptualisation to dissemination"": https://forrt.org/glossary/english/research_workflow/",Workflow,workflow,,,,,,,
"As of 2026-07-31, the terms below had status 'reject' in column K;  editorial comments may be less detailed and overall quality of information not validated",,,,,,,,,,,,Comments below  mainly used to justify 'reject' in column K ,,,,,,,,,
actor,,,individual or group that fulfils one or more roles in the ​EOSC​.,EOSC Glossary September 2020,,2020-09-01,,,Franciska de Jong Joaquin Lopez Lorenz Makula Alberto Iess,reject,,Too generic; not specific to EOSC/OSCARS.,Actor,actor,,component,individual or group that fulfils one or more roles in the ​EOSC​.,,A research organisation participating in the EOSC initiative as a service provider and as an end-user.,,
Application Programming Interface,API,,Application Programming Interface,EOSCFuture project glossary,,2024-03-29,,,Franciska de Jong Joaquin Lopez Lorenz Makula Alberto Iess,reject,,"FdJ: not specific for EOSC/OSCARS
Too generic; not specific to EOSC/OSCARS.",Api,Application Programming Interface,,,Application Programming Interface,,,,
architecture,,,"fundamental concepts or properties of a ​system in its environment embodied in its ​components​, relationships, and in the principles of its design and evolution.",EOSC Glossary September 2020,"ISO/IEC/IEEE 42010:2011, modified –– reference to components instead of elements.",2020-09-01,,,Franciska de Jong Joaquin Lopez Lorenz Makula Alberto Iess,reject,,"FdJ: not specific for EOSC/OSCARS

LL: Relevant for LifeWatch ERIC and other RI
Too generic; not specific to EOSC/OSCARS.",Architecture,architecture,,system,"fundamental concepts or properties of a ​system in its environment embodied in its ​components​, relationships, and in the principles of its design and evolution.",,,,
Authentication and Authorisation for Research and Collaboration,AARC,,A series of EC-funded projects which use AAI to bring researcher collaborations closer together.,EOSCFuture project glossary,,2024-03-29,,,Franciska de Jong Lorenz Makula Joaquin Lopez Alberto Iess,reject,,"FdJ: not specific for EOSC/OSCARS
JLL: Directly relevant to LifeWatch and EOSC research infrastructures. Propose SELECT.",AuthenticationAndAuthorisationForResearchAndCollaboration,Authentication and Authorisation for Research and Collaboration,,,A series of EC-funded projects which use AAI to bring researcher collaborations closer together.,,,,
best practice,,,"technique or methodology that, through experience and research, has proven to reliably lead to a desired result.",EOSC Glossary September 2020,CASRAI Research Data Management Glossary. ​https://casrai.org/rdm-glossary/​.,2020-09-01,MN,,Franciska de Jong Joaquin Lopez Lorenz Makula Alberto Iess,reject,can be rediscussed after first release,"FdJ: not specific for EOSC/OSCARS
Too generic; not specific to EOSC/OSCARS.",BestPractice,best practice,,,"technique or methodology that, through experience and research, has proven to reliably lead to a desired result.",,,,
big data,,,"extensive ​datasets​ –– primarily in the characteristics of volume, velocity, variety, and/or variability –– that require a scalable ​architecture​ for efficient storage, manipulation, and analysis.",EOSC Glossary September 2020,"NIST Big Data Public Working Group Definitions and Taxonomies Subgroup. (2015). NIST Big Data Interoperability Framework: Volume 1, Definitions (NIST SP 1500-1). National Institute of Standards and Technology. ​https://doi.org/10.6028/NIST.SP.1500-1​.",2020-09-01,MN,,Franciska de Jong Joaquin Lopez Lorenz Makula,reject,can be rediscussed after first release,"FdJ: not specific for EOSC/OSCARS
Too generic; not specific to EOSC/OSCARS.",BigData,big data,,dataset,"extensive ​datasets​ –– primarily in the characteristics of volume, velocity, variety, and/or variability –– that require a scalable ​architecture​ for efficient storage, manipulation, and analysis.",,,,
Board,,,"body of the ​governance structure​ in charge of achieving the purpose and directing the activities by implementing the decisions, instructions and recommendations adopted by the ​General Assembly​.",EOSC Glossary September 2020,"EOSC AISBL Statutes, (2020), FINAL. https://www.eoscsecretariat.eu/sites/default/files/eosc_statutes.pdf​, modified –– reference to body of the governance structure.",2020-09-01,,,Franciska de Jong Joaquin Lopez Lorenz Makula Alberto IessMN,reject,,Too generic without EOSC qualifier.,Board,Board,,governance structure,"body of the ​governance structure​ in charge of achieving the purpose and directing the activities by implementing the decisions, instructions and recommendations adopted by the ​General Assembly​.","The Board is composed of a minimum of seven Directors, which are elected from the ​General Assembly​ amongst its Delegates, including the President, the Vice-President and the Treasurer. When there are fewer than seven ​Members​ the number of Directors is equal to the number of Members.",,,
Catalogue Operator Representative,COR,,An individual responsible for recording information about a Community Catalogue and onboarding and maintaining that catalogue into the EOSC Exchange.,EOSCFuture project glossary,,2024-03-29,,,Franciska de Jong Joaquin Lopez Lorenz Makula Alberto Iess,reject,,FdJ: too specific,CatalogueOperatorRepresentative,Catalogue Operator Representative,,,An individual responsible for recording information about a Community Catalogue and onboarding and maintaining that catalogue into the EOSC Exchange.,,,,
certified repository,,,repository​ that has gone through and passed a certification process.,EOSC Glossary September 2020,RDA DFT working group. (2019). DFT Vocabulary 4.0 Philadelphia. https://smw-rda.esc.rzg.mpg.de/dft-4.0.html​.,2020-09-01,Joaquin Lopez Lorenz Makula Alberto Iess,,Franciska de Jong,reject,can be rediscussed after first release,FdJ:duplicate with better definition included; to be discussed after first release,CertifiedRepository,certified repository,,repository,repository​ that has gone through and passed a certification process.,,,,
cloud computing model,,,"model for enabling ubiquitous, convenient, on-demand network access to a shared pool of configurable computing resources (e.g., networks, servers, storage, applications, and services) that can be rapidly provisioned and released with minimal management effort or service provider interaction. This cloud model is composed of five essential characteristics (On-demand self-service, Broad network access, Resource pooling, Rapid elasticity, Measured service), three service models (Software as a Service, Platform as a Service, Infrastructure as a Service), and four deployment models (Private cloud, Community cloud, Public cloud, Hybrid cloud).",EOSC Glossary September 2020,"Mell, P., & Grance, T. (2011). ​The NIST Definition of Cloud Computing. Recommendations of the National Institute of Standards and Technology (Special Publication 800-145; Reports on Computer Systems Technology). National Institute of Standards and Technology, Information Technology Laboratory. https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-145.pdf​.",2020-09-01,,,Franciska de Jong Joaquin Lopez Lorenz Makula Alberto Iess,reject,,Not specific to EOSC/OSCARS.,CloudComputingModel,cloud computing model,,paradigm,"model for enabling ubiquitous, convenient, on-demand network access to a shared pool of configurable computing resources (e.g., networks, servers, storage, applications, and services) that can be rapidly provisioned and released with minimal management effort or service provider interaction. This cloud model is composed of five essential characteristics (On-demand self-service, Broad network access, Resource pooling, Rapid elasticity, Measured service), three service models (Software as a Service, Platform as a Service, Infrastructure as a Service), and four deployment models (Private cloud, Community cloud, Public cloud, Hybrid cloud).",,,,
cloud infrastructure,,,ICT infrastructure​ enabling the ​cloud computing model​.,EOSC Glossary September 2020,,2020-09-01,,,Franciska de Jong Lorenz Makula Joaquin Lopez Alberto Iess,reject,,"FdJ: not specific for EOSC/OSCARS
Not specific to EOSC/OSCARS.",CloudInfrastructure,cloud infrastructure,,information and communication technology infrastructure,ICT infrastructure​ enabling the ​cloud computing model​.,,,,
Community Catalogue,,,A Community catalogue complying with EOSC-Exchange community resource catalogue inclusion criteria and including several resources. It is an external catalogue that can be onboarded into the EOSC Exchange by a Catalogue Operator Representative on behalf of the Community Catalogue Operator.,EOSCFuture project glossary,,2024-03-29,,,Franciska de Jong Joaquin Lopez Lorenz Makula Alberto Iess,reject,,"FdJ; too much dependencies on other terms
Too many dependencies on other terms.",CommunityCatalogue,Community Catalogue,,,A Community catalogue complying with EOSC-Exchange community resource catalogue inclusion criteria and including several resources. It is an external catalogue that can be onboarded into the EOSC Exchange by a Catalogue Operator Representative on behalf of the Community Catalogue Operator.,,,,
Community Catalogue Operator,,,An organisation operating an EOSC-compliant community catalogue and responsible for the onboarding and validating selected resources from that community catalogue into the EOSC Exchange.,EOSCFuture project glossary,,2024-03-29,,,Franciska de Jong Joaquin Lopez Lorenz Makula Alberto Iess,reject,,"FdJ; too much dependencies on other terms
Too many dependencies on other terms.",CommunityCatalogueOperator,Community Catalogue Operator,,,An organisation operating an EOSC-compliant community catalogue and responsible for the onboarding and validating selected resources from that community catalogue into the EOSC Exchange.,,,,
Community Platform,,,"A Community Platform is a platform operated by a community to serve its users. It can be made of multiple services (support services such as AAI, Helpdesk, etc and services for the research) and should contain at least an inventory (e.g. in form of a catalogue) of its assets (services, datasets and other research resources).",EOSCFuture project glossary,,2024-03-29,,,Franciska de Jong Joaquin Lopez Lorenz Makula Alberto Iess,reject,,"FdJ: not specific for EOSC/OSCARS
Not specific to EOSC/OSCARS.",CommunityPlatform,Community Platform,,,"A Community Platform is a platform operated by a community to serve its users. It can be made of multiple services (support services such as AAI, Helpdesk, etc and services for the research) and should contain at least an inventory (e.g. in form of a catalogue) of its assets (services, datasets and other research resources).",,,,
component,,,"discrete ​actor​, ​service​, ​policy​, ​data or ​infrastructure that can be considered an asset or a constituent part of the ​EOSC",EOSC Glossary September 2020,,2020-09-01,,,Franciska de Jong Lorenz Makula Joaquin Lopez Alberto Iess,reject,FdJ: recent definition welcome,"FdJ: term too generic, and the EOSC-specific apsect is covered by 'composability'",ComponentEosc,component,,European Open Science Cloud,"discrete ​actor​, ​service​, ​policy​, ​data or ​infrastructure that can be considered an asset or a constituent part of the ​EOSC",,,,
